source,new_source,group,dijkstra_dheap,rdijkstra_dag_dheap,rdijkstra_tree_dheap,rauction_dag_dheap,rauction_tree_dheap,dijkstra_radix,rdijkstra_dag_radix,rdijkstra_tree_radix,rauction_dag_radix,rauction_tree_radix
112535,67186,3,38.959,39.299,38.329,29.625,30.779,18.860,17.608,17.627,29.597,31.125
112535,67186,3,38.818,39.874,38.975,29.577,30.927,18.778,17.644,17.645,29.539,31.204
112535,141788,3,40.081,39.310,39.214,6.295,6.709,18.618,17.718,17.808,6.310,6.755
112535,141788,3,38.846,38.734,39.106,6.278,6.816,18.433,17.574,18.079,6.349,6.729
112535,77931,3,39.203,39.161,38.531,13.111,13.997,18.841,17.628,17.682,13.083,13.932
112535,77931,3,38.766,38.812,38.658,13.047,13.750,18.700,17.740,17.562,13.073,14.241
112535,112991,4,38.498,38.320,38.378,6.431,6.609,18.819,17.687,17.439,6.409,6.654
112535,112991,4,38.875,38.599,41.049,6.578,6.600,19.676,17.942,18.021,6.350,6.817
112535,82006,4,40.868,39.211,39.615,10.720,11.432,19.647,18.579,17.653,11.085,11.544
112535,82006,4,38.660,38.782,38.854,10.758,11.507,18.774,17.993,17.543,10.835,11.449
112535,91366,4,38.639,39.392,39.163,4.651,4.419,19.842,17.697,17.804,4.242,4.441
112535,91366,4,38.459,38.812,38.874,4.260,4.277,18.290,17.757,17.635,4.302,4.462
112535,16544,5,38.657,38.395,38.369,2.184,2.078,18.430,17.707,17.647,2.220,2.058
112535,16544,5,38.826,38.816,39.176,2.229,2.039,18.598,17.658,17.707,2.192,2.062
112535,141287,5,39.282,38.675,38.229,2.207,2.028,18.536,17.700,17.664,2.187,2.029
112535,141287,5,38.821,38.521,38.630,2.213,2.114,18.376,17.701,17.921,2.215,2.004
112535,13494,5,39.053,38.773,38.765,6.306,6.626,18.653,17.546,17.732,6.449,6.606
112535,13494,5,38.870,38.624,38.380,6.422,6.597,18.674,17.724,17.651,6.334,6.860
112535,158981,6,38.596,38.772,38.915,2.179,2.030,19.986,17.815,17.533,2.219,2.006
112535,158981,6,38.410,41.535,39.325,2.205,2.071,18.483,17.826,17.613,2.216,2.048
112535,94547,6,43.534,38.819,38.844,4.212,4.385,18.584,17.902,17.544,4.217,4.723
